story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc
93.0,The Seduction of Bill,A shy young man is seduced by an older dominant woman who lures him into foot worship and to service her strap-on dildo.,24344.0,9.0,8.0,32042,63.0,Dianna Vesta,"Sep 6, 2000","['F/m', 'feet', 'Serious']",0.0,0.0
94.0,The Slave Trading Club,A young slave girl's training is now sufficient to accommodate her Master's inclusion in an exclusive trading club.,12872.0,9.0,4.0,32929,64.0,mia slave,"Sep 6, 2000","['M/f', 'BDSM', 'slavery', 'torture', 'Serious']",1.0,0.0
95.0,Star Treatment,Legendary porn movie producer Lesiah Thrace auditions new talent for her latest GoddessSex epic and discovers an incredible new superslut.,19173.0,8.0,2.0,13777,65.0,Taliesin the Bard,"Sep 10, 2000","['M+/f+', 'fisting', 'interracial', 'Serious', 'Hardcore']",0.0,0.0
96.0,Cathy's Latex Torment,Heat and latex at the hands of her Mistress. Will she ever know her limits?,6540.0,7.5,4.0,29707,66.0,Stephen Parslow,"Sep 10, 2000","['F/m', 'latex', 'bondage', 'Serious']",0.0,0.0
97.0,The Storm,"D/s based story of a rape, perhaps fantasy fulfilled involving 2 maybe 3 men and one woman.",15907.0,6.0,7.0,23102,62.0,Mariah H.,"Sep 10, 2000","['M+/f', 'D/s', 'Serious']",0.0,0.0
98.0,The Mansion,Master built the mansion where males had the total control and the only the females needed to do was obey their master's every order.,451277.0,8.0,12.0,237190,67.0,Mad Dog,"Sep 10, 2000","['M/f', 'F/f', 'slavery', 'torture', 'Serious']",1.0,0.0
99.0,School Girl,The only course for this girl was feeling the pain. All her classmates were willing to help their headmistress and make sure she performed well.,107847.0,8.0,4.0,46032,30.0,Unknown,"Sep 10, 2000","['M/f', 'F/f', 'BDSM', 'college', 'Serious']",0.0,0.0
100.0,Cleopatra,"The Queen of Egypt won Caesar's heart, but his wife, Calpurnia, couldn't stand it any more. She decided to take Cleopatra down and the fate of queen Cleopatra was changed, completely.",31185.0,8.5,3.0,32586,68.0,Leones,"Sep 12, 2000","['M/f', 'F/f', 'bondage', 'historical', 'nc', 'Serious']",0.0,1.0
101.0,Caught stealing,Caught stealing and punished.,5992.0,2.0,6.0,19272,69.0,Jan Wright,"Sep 13, 2000","['M/f', 'spanking', 'B/D', 'Serious']",0.0,0.0
102.0,Debasement of Donna,"Donna got a job and worked for a woman, who turned out to be a lesbian and quite dominant.",80789.0,8.5,9.0,58973,10.0,Chrissy,"Sep 17, 2000","['F/f', 'BDSM', 'Serious']",0.0,0.0
